[2025-07-02T12:18:02.264Z] [::1] ERROR: Unknown authentication strategy "jwt-at" - Path: /bookings
[2025-07-02T12:34:40.812Z] [::1] ERROR: Unknown authentication strategy "jwt-at" - Path: /bookings
[2025-07-02T13:31:15.540Z] [::1] ERROR: {"message":"Unauthorized","statusCode":401} - Path: /auth/signin
[2025-07-02T13:31:51.913Z] [::1] ERROR: {"message":"Expected ',' or '}' after property value in JSON at position 34 (line 3 column 3)","error":"Bad Request","statusCode":400} - Path: /auth/signin
[2025-07-02T13:32:26.196Z] [::1] ERROR: {"message":"Unauthorized","statusCode":401} - Path: /auth/signin
[2025-07-02T13:37:24.900Z] [::1] ERROR: {"message":"Expected ',' or '}' after property value in JSON at position 30 (line 3 column 1)","error":"Bad Request","statusCode":400} - Path: /auth/signin
[2025-07-02T13:37:35.069Z] [::1] ERROR: {"message":"Unauthorized","statusCode":401} - Path: /auth/signin
[2025-07-02T14:32:36.188Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T14:35:53.608Z] [::1] ERROR: {"message":"Expected ',' or '}' after property value in JSON at position 46 (line 3 column 1)","error":"Bad Request","statusCode":400} - Path: /auth/signin
[2025-07-02T14:36:10.435Z] [::1] ERROR: {"message":"Expected double-quoted property name in JSON at position 112 (line 7 column 1)","error":"Bad Request","statusCode":400} - Path: /auth/signin
[2025-07-02T14:36:45.012Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T14:37:20.551Z] [::1] ERROR: {"message":"Expected double-quoted property name in JSON at position 54 (line 7 column 1)","error":"Bad Request","statusCode":400} - Path: /auth/signin
[2025-07-02T14:37:22.490Z] [::1] ERROR: {"message":"Expected double-quoted property name in JSON at position 54 (line 7 column 1)","error":"Bad Request","statusCode":400} - Path: /auth/signin
[2025-07-02T14:37:41.748Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T14:39:30.699Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T14:47:20.373Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T14:47:26.562Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T14:47:52.064Z] [::1] ERROR: {"message":"Invalid credentials","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T19:34:00.461Z] [::1] ERROR: {"message":"User with email b@gmail.com not found","error":"Not Found","statusCode":404} - Path: /auth/signin
[2025-07-02T19:34:27.403Z] [::1] ERROR: {"message":"Unauthorized","statusCode":401} - Path: /seed-users
[2025-07-02T19:34:31.440Z] [::1] ERROR: {"message":"Unauthorized","statusCode":401} - Path: /seed-users
[2025-07-02T19:34:53.684Z] [::1] ERROR: {"message":"Cannot GET /seed-users","error":"Not Found","statusCode":404} - Path: /seed-users
[2025-07-02T19:34:54.916Z] [::1] ERROR: {"message":"Cannot GET /favicon.ico","error":"Not Found","statusCode":404} - Path: /favicon.ico
[2025-07-02T19:38:54.918Z] [::1] ERROR: {"message":"Cannot GET /seed-users","error":"Not Found","statusCode":404} - Path: /seed-users
